Date,DayOfWeek,FoodItem,Category,Quantity,PricePerItem,TotalSales,CustomerType,Weather,SpecialEvent
2024-06-11,Tuesday,Pizza,Main Course,1,23.54,23.54,Regular,Rainy,Holiday
2024-07-18,Thursday,Coffee,Drink,2,19.76,39.52,Regular,Sunny,None
2024-08-13,Tuesday,Coffee,Drink,10,5.66,56.6,Regular,Cloudy,Holiday
2024-12-28,Saturday,Tacos,Main Course,4,16.23,64.92,Regular,Sunny,Holiday
2025-02-02,Sunday,Pasta,Main Course,7,13.51,94.57,Regular,Cold,None
2024-04-10,Wednesday,Tacos,Main Course,2,13.97,27.94,Regular,Cold,Festival
2024-10-16,Wednesday,Ice Cream,Dessert,9,8.12,73.08,Occasional,Sunny,None
2025-02-20,Thursday,Tea,Drink,6,19.43,116.58,New,Sunny,None
2025-02-15,Saturday,Sushi,Main Course,2,26.38,52.76,Occasional,Stormy,None
2024-12-29,Sunday,Steak,Main Course,3,14.25,42.75,Regular,Cold,Holiday
2025-03-16,Sunday,Pizza,Main Course,10,20.87,208.7,New,Rainy,None
2024-11-28,Thursday,Tacos,Main Course,5,29.74,148.7,New,Windy,None
2024-12-01,Sunday,Steak,Main Course,1,10.73,10.73,Regular,Cold,None
2024-04-10,Wednesday,Pizza,Main Course,4,27.83,111.32,New,Cloudy,None
2024-11-24,Sunday,Ice Cream,Dessert,7,27.12,189.84,New,Rainy,None
2024-05-01,Wednesday,Salad,Appetizer,9,18.47,166.23,New,Stormy,Festival
2024-12-08,Sunday,Tacos,Main Course,6,10.48,62.88,Occasional,Windy,None
2025-03-07,Friday,Burger,Main Course,2,8.82,17.64,Regular,Cloudy,None
2024-12-06,Friday,Pizza,Main Course,7,14.54,101.78,Occasional,Windy,None
2024-08-22,Thursday,Coffee,Drink,1,22.01,22.01,Regular,Windy,Holiday
2024-11-04,Monday,Steak,Main Course,2,12.34,24.68,Regular,Sunny,Discount Day
2024-08-09,Friday,Sushi,Main Course,9,24.05,216.45,New,Sunny,Festival
2024-05-02,Thursday,Sushi,Main Course,9,20.22,181.98,Regular,Rainy,None
2024-08-22,Thursday,Coffee,Drink,1,19.97,19.97,Regular,Sunny,Weekend Special
2025-03-20,Thursday,Sushi,Main Course,4,6.45,25.8,Occasional,Sunny,None
2025-01-13,Monday,Ice Cream,Dessert,2,29.45,58.9,New,Rainy,None
2024-08-11,Sunday,Ice Cream,Dessert,9,9.13,82.17,New,Windy,None
2024-06-04,Tuesday,Salad,Appetizer,9,23.88,214.92,New,Cloudy,None
2024-03-25,Monday,Steak,Main Course,8,27.49,219.92,Regular,Rainy,None
2024-04-30,Tuesday,Steak,Main Course,1,19.71,19.71,Regular,Rainy,None
2024-06-22,Saturday,Burger,Main Course,4,6.69,26.76,Regular,Cold,None
2024-09-23,Monday,Salad,Appetizer,5,21.72,108.6,Regular,Rainy,Holiday
2025-02-20,Thursday,Tea,Drink,10,16.82,168.2,New,Stormy,None
2024-05-07,Tuesday,Pizza,Main Course,7,13.86,97.02,Regular,Cloudy,None
2024-12-21,Saturday,Pizza,Main Course,1,15.07,15.07,Regular,Sunny,None
2024-06-13,Thursday,Salad,Appetizer,9,16.22,145.98,Regular,Cold,None
2024-07-27,Saturday,Pizza,Main Course,8,25.2,201.6,Occasional,Sunny,None
2025-03-06,Thursday,Coffee,Drink,1,29.22,29.22,Occasional,Rainy,None
2024-07-01,Monday,Ice Cream,Dessert,8,10.34,82.72,Regular,Sunny,None
2024-05-30,Thursday,Burger,Main Course,7,11.63,81.41,New,Stormy,None
2024-08-08,Thursday,Coffee,Drink,8,8.87,70.96,Regular,Sunny,None
2024-12-25,Wednesday,Coffee,Drink,1,23.7,23.7,Regular,Windy,None
2024-09-28,Saturday,Coffee,Drink,3,6.42,19.26,New,Rainy,None
2025-02-10,Monday,Pizza,Main Course,4,15.09,60.36,Occasional,Windy,None
2024-06-12,Wednesday,Tea,Drink,1,20.48,20.48,Regular,Windy,None
2024-10-28,Monday,Steak,Main Course,5,10.11,50.55,New,Rainy,None
2024-03-29,Friday,Pasta,Main Course,5,16.43,82.15,Occasional,Sunny,None
2024-09-08,Sunday,Tea,Drink,10,29.9,299.0,Regular,Rainy,None
2024-10-20,Sunday,Pasta,Main Course,6,27.02,162.12,Occasional,Cold,None
2024-04-22,Monday,Ice Cream,Dessert,9,22.59,203.31,New,Cloudy,None
2024-09-12,Thursday,Coffee,Drink,5,28.29,141.45,Regular,Rainy,None
2024-06-27,Thursday,Pizza,Main Course,9,8.89,80.01,Regular,Rainy,Holiday
2024-12-14,Saturday,Salad,Appetizer,5,17.64,88.2,Regular,Sunny,None
2024-06-14,Friday,Tacos,Main Course,5,6.1,30.5,Regular,Rainy,None
2024-04-18,Thursday,Sushi,Main Course,3,23.53,70.59,New,Stormy,None
2024-08-03,Saturday,Pizza,Main Course,2,28.63,57.26,New,Rainy,None
2025-02-15,Saturday,Steak,Main Course,10,18.81,188.1,Regular,Sunny,None
2024-05-21,Tuesday,Burger,Main Course,6,10.25,61.5,Regular,Sunny,None
2024-07-26,Friday,Coffee,Drink,7,29.35,205.45,New,Rainy,Festival
2024-08-25,Sunday,Pasta,Main Course,7,5.62,39.34,New,Cold,Holiday
2024-04-18,Thursday,Tacos,Main Course,4,11.67,46.68,New,Sunny,None
2024-08-01,Thursday,Burger,Main Course,8,10.56,84.48,Occasional,Stormy,None
2025-02-04,Tuesday,Salad,Appetizer,4,5.59,22.36,Regular,Cold,None
2024-09-24,Tuesday,Pizza,Main Course,5,13.78,68.9,New,Cloudy,Discount Day
2024-12-21,Saturday,Coffee,Drink,6,28.48,170.88,Regular,Cold,None
2025-01-15,Wednesday,Sushi,Main Course,1,7.71,7.71,Regular,Cloudy,Holiday
2025-01-10,Friday,Tacos,Main Course,10,29.61,296.1,Regular,Windy,None
2024-10-11,Friday,Burger,Main Course,7,5.04,35.28,Occasional,Windy,None
2024-05-01,Wednesday,Salad,Appetizer,6,15.78,94.68,Occasional,Cold,None
2024-04-29,Monday,Pizza,Main Course,5,17.68,88.4,New,Cold,None
2024-07-30,Tuesday,Sushi,Main Course,9,8.18,73.62,Regular,Stormy,None
2025-01-29,Wednesday,Pasta,Main Course,10,19.23,192.3,Regular,Sunny,None
2024-07-08,Monday,Salad,Appetizer,7,24.64,172.48,New,Cold,None
2024-11-08,Friday,Ice Cream,Dessert,4,17.78,71.12,New,Cloudy,None
2024-09-23,Monday,Pizza,Main Course,5,17.89,89.45,New,Cold,None
2024-10-10,Thursday,Salad,Appetizer,5,10.62,53.1,Regular,Sunny,None
2024-07-28,Sunday,Ice Cream,Dessert,10,26.24,262.4,Regular,Stormy,Festival
2024-03-31,Sunday,Tea,Drink,4,22.96,91.84,Regular,Stormy,None
2024-10-06,Sunday,Burger,Main Course,2,24.46,48.92,Regular,Cloudy,None
2024-09-19,Thursday,Burger,Main Course,9,11.23,101.07,Occasional,Stormy,None
2024-11-01,Friday,Ice Cream,Dessert,9,29.7,267.3,New,Stormy,None
2025-02-27,Thursday,Coffee,Drink,7,25.76,180.32,New,Rainy,Holiday
2024-04-19,Friday,Ice Cream,Dessert,8,11.48,91.84,Regular,Cloudy,None
2024-05-17,Friday,Coffee,Drink,8,20.67,165.36,Regular,Sunny,Holiday
2024-11-18,Monday,Salad,Appetizer,5,13.4,67.0,Occasional,Sunny,None
2025-01-07,Tuesday,Salad,Appetizer,7,22.35,156.45,New,Sunny,None
2025-01-18,Saturday,Steak,Main Course,9,16.65,149.85,Regular,Stormy,None
2024-08-29,Thursday,Tea,Drink,1,26.42,26.42,New,Stormy,None
2024-04-03,Wednesday,Steak,Main Course,5,23.84,119.2,Occasional,Stormy,None
2024-07-22,Monday,Coffee,Drink,10,27.45,274.5,Regular,Cold,None
2024-08-13,Tuesday,Burger,Main Course,7,13.4,93.8,New,Stormy,Holiday
2024-11-16,Saturday,Ice Cream,Dessert,3,29.52,88.56,New,Stormy,None
2024-09-18,Wednesday,Burger,Main Course,2,21.07,42.14,Regular,Stormy,None
2024-06-18,Tuesday,Sushi,Main Course,7,13.18,92.26,Regular,Cold,Holiday
2024-11-03,Sunday,Tacos,Main Course,5,23.8,119.0,Occasional,Cold,Festival
2024-03-29,Friday,Ice Cream,Dessert,1,23.73,23.73,Regular,Cold,None
2024-07-09,Tuesday,Pizza,Main Course,1,23.86,23.86,Occasional,Rainy,Festival
2024-04-30,Tuesday,Tea,Drink,3,10.96,32.88,Regular,Sunny,None
2024-10-12,Saturday,Salad,Appetizer,8,22.49,179.92,New,Rainy,None
2024-04-08,Monday,Pizza,Main Course,3,29.12,87.36,Regular,Sunny,Weekend Special
2024-12-14,Saturday,Tea,Drink,7,14.92,104.44,New,Sunny,None
2024-05-13,Monday,Salad,Appetizer,2,22.43,44.86,Regular,Cloudy,None
2024-08-22,Thursday,Pizza,Main Course,10,24.57,245.7,Regular,Stormy,None
2024-06-01,Saturday,Pizza,Main Course,9,21.19,190.71,Regular,Stormy,Festival
2024-08-30,Friday,Pizza,Main Course,7,29.02,203.14,New,Stormy,Holiday
2024-10-30,Wednesday,Tacos,Main Course,3,23.34,70.02,Occasional,Cold,None
2024-07-22,Monday,Coffee,Drink,8,16.62,132.96,Occasional,Windy,None
2024-05-30,Thursday,Salad,Appetizer,2,11.97,23.94,Regular,Stormy,None
2024-04-08,Monday,Tacos,Main Course,6,5.72,34.32,Occasional,Rainy,None
2025-01-09,Thursday,Steak,Main Course,5,13.51,67.55,Occasional,Cloudy,Festival
2024-12-11,Wednesday,Coffee,Drink,1,17.92,17.92,Regular,Rainy,Holiday
2025-03-01,Saturday,Ice Cream,Dessert,9,23.95,215.55,New,Cloudy,Holiday
2024-10-13,Sunday,Ice Cream,Dessert,1,7.33,7.33,Regular,Cloudy,None
2024-05-27,Monday,Tea,Drink,6,16.83,100.98,New,Stormy,Discount Day
2024-07-10,Wednesday,Coffee,Drink,6,13.8,82.8,Regular,Cold,None
2024-12-17,Tuesday,Pizza,Main Course,4,12.89,51.56,New,Cloudy,None
2024-10-01,Tuesday,Salad,Appetizer,8,11.91,95.28,New,Windy,None
2025-01-29,Wednesday,Pizza,Main Course,4,12.41,49.64,Regular,Cold,None
2025-01-15,Wednesday,Coffee,Drink,3,11.86,35.58,Occasional,Windy,None
2024-05-31,Friday,Pasta,Main Course,8,7.56,60.48,Regular,Cold,None
2025-01-05,Sunday,Ice Cream,Dessert,6,9.61,57.66,Regular,Stormy,None
2024-04-21,Sunday,Pizza,Main Course,7,17.29,121.03,New,Cloudy,None
2024-04-09,Tuesday,Pasta,Main Course,10,28.73,287.3,Regular,Rainy,None
2024-07-02,Tuesday,Tacos,Main Course,10,19.9,199.0,New,Windy,None
2025-01-27,Monday,Ice Cream,Dessert,5,26.5,132.5,Occasional,Cold,None
2024-11-15,Friday,Burger,Main Course,10,29.0,290.0,Regular,Rainy,None
